paper_title,method_name,time_space_complexity,application_scenario,pros_cons,data_driven
Can Post-Training Turn LLMs into Good Medical Coders? An Empirical Study of Generative ICD Coding,后训练优化方法（SFT+GRPO+PHI诊断课程）,未明确说明,医学ICD编码，全分类法召回任务,优点：揭示后训练（尤其SFT/GRPO）大幅释放LLM编码潜力，PHI提升宏级别性能；缺点：瓶颈在于全分类法召回适配，具体局限性未说明,是（监督微调与强化学习依赖标注数据集）
Self-Evolving Visual Questioner,自进化视觉提问者框架（提议-筛选-训练）,未明确说明,通用视觉问答，主动视觉提问能力提升,优点：自监督自进化，无需外部标注，提升提问质量与难度并保持回答性能；缺点：局限性未明确说明,是（基于自生成问题训练模型）
Sorries Are Not the Hard Part: An Expert-Review Case Study of a Semi-Autonomous Formalization,专家审查驱动的形式化质量评估,未明确说明,交互式定理证明自动形式化，工程质量与可重用性评估,优点：以专家审查替代单一无sorry指标，揭示定义与API设计弱点；缺点：案例限于单一定理，泛化性需更多验证,否（案例研究、定性评估）
A Multi-Agent AI System for Automated High School Transcript Processing: Collaborative Document Analysis at Scale,多智能体成绩单处理系统（模式识别+语义+视觉+编排，GPA协调）,未明确说明（处理速度45秒/份）,高中成绩单自动处理，高校招生文档解析与校验,优点：准确率96.7%，高速处理，GPA信号防信息丢失；缺点：局限性未明确说明,是（依赖模式识别、语义与视觉模型）
SANA: What Matters for QA Agents over Massive Data Lakes?,SANA诊断消融框架（搜索-规划-数据分析组件消融）,未明确说明,数据湖问答代理性能诊断与瓶颈分解,优点：将端到端准确率解构为各模块瓶颈与策略失败证据；缺点：局限性未明确说明,否（分析诊断框架，不依赖学习，利用现有基准）
Capability Minimization as a Safety Primitive: Risk-Aware Causal Gating for Least-Privilege LLM Agents,风险感知因果门控框架（RACG）,未明确说明,高风险自动化决策，如医疗、金融等需安全控制的环境,优点：显著减少高成本错误，保留效用，错误控制优于置信度方法；缺点：依赖因果模型准确性，极端分布偏移下保障不足,无法确定（未明确说明是否依赖数据学习反事实估计）
SpheriCity: Designing Trustworthy Conversational AI for Sustainability Decision Support,SpheriCity（溯源优先的对话智能体与交互支架）,未明确说明,循环经济决策支持，可持续领域的知识综合、跨城市比较与政策推荐,优点：透明溯源、语境解释与工作流契合度塑造专家信任；缺点：专家样本量小（六人），缺乏技术性能基准,无法确定（依赖LLM但未说明是否额外训练）
Multi-Agent Embodied Autonomous Driving: From V2X Information Exchange to Shared World Models,共享世界模型视角的多智能体协同驾驶综述,未明确说明,多智能体具身自动驾驶，V2X协同感知、意图推断与规划,优点：以统一框架系统梳理研究前沿，提出可验证安全协同优先级；缺点：现有评估多停留仿真与离线基准，缺乏实时安全验证与通信约束考量,是（现有方法普遍依赖数据驱动训练，综述归纳于此）
When Plausible Is Not Realistic: Evaluating Human Mobility in LLM-Based Urban Simulation,Multi-dimensional validation framework for LLM-based urban simulators,未明确说明,基于LLM的城市模拟中人类移动模式真实性评估,优点：首次提出面向LLM城市模拟器移动真实性的多维验证框架，并开源可复现工具链；缺点：评估仅局限于两个特定模拟器和两个城市数据集，结论泛化性有待验证，且未充分解决默认提示配置导致的移动多样性不稳定问题,是（使用巴黎与上海真实移动数据集进行定量对比）
Safety-Contract Graph Multi-Agent Reinforcement Learning for Autonomous Network Security Response,ACD³-GAT (safety-contract graph multi-agent RL with CVaR and counterfactual risk propagation),未明确说明,自主网络安全响应（网络防御仿真环境中的协同防御，需满足运维预算约束）,优点：首次将安全契约图与多智能体约束强化学习、CVaR风险估计以及反事实传播相结合，将停机预算违反率从无约束方法的100%降至13.8%（或0.3%对比方法），受约束策略在压力测试下退化更小；缺点：ACD³-GAT仍存在13.8%的约束违反率，未能完全满足停机预算，且仅评估于CAGE Challenge 4单一场景，泛化性未经验证,是（基于CAGE Challenge 4网络防御仿真环境和相关预算约束数据）
FlowMo-WM: A World Model with Object Momentum and Hidden Ambient Drift,FlowMo-WM,未明确说明,存在隐藏环境漂移（如水流、风）的水面航行器操作场景，要求世界模型能预测对象动量和外源漂移下的长期动力学,优点：端到端学习，不依赖显式流场监督，通过在潜空间分解短期运动与长期历史上下文，并利用零上下文残差转移解耦基础动力学与漂移，在隐藏漂移场景下显著提升长时域预测准确性；缺点：仅在模拟水面航行器环境验证，未涉及真实世界场景，泛化性未经验证,是（基于模拟水面航行器环境生成的多变动力学与隐藏漂移数据）
EvoArena: Tracking Memory Evolution for Robust LLM Agents in Dynamic Environments,EvoArena benchmark + EvoMem memory paradigm,未明确说明,LLM代理在动态持续变化环境（如终端、软件、社交偏好演化）中的评估与自适应,优点：提出首个将环境变化建模为渐进更新序列的动态演化基准，并设计补丁式记忆演化范式，使代理能从记忆变化中推断环境演变，在动态基准和静态基准上均有提升；缺点：现有代理在EvoArena上整体准确率仅39.6%，EvoMem带来的绝对提升幅度较小（平均1.5%），整体能力仍偏低,是（基于EvoArena基准生成的渐进更新序列及GAIA、LoCoMo标准基准数据）
Mana: Dexterous Manipulation of Articulated Tools,Mana framework,未明确说明,关节工具的灵巧操作，包括抓取与手内操作，要求实现零样本从仿真到真实世界的迁移,优点：将操作重新构想为动画生成问题，通过粗到细的流程实现全自动数据生成与零样本sim-to-real迁移，在四种关节工具上验证了可扩展性；缺点：摘要未明确说明局限,是（通过程序化生成关键帧和强化学习生成操作轨迹，自动产生训练数据）
Improving Robotic Generalist Policies via Flow Reversal Steering,Flow Reversal Steering (FRS),未明确说明,机器人操作，利用通用策略的零样本控制、行为蒸馏与结合语义知识的强化学习引导,优点：利用流匹配的可逆性将粗略语义引导映射到高质量动作模式，能显著提升零样本控制性能，并通过极短训练（不到一分钟）实现高达95%的绝对任务成功率提升；缺点：方法依赖于“次优但合理”的初始动作候选，可能对完全错误的语义引导敏感,是（基于模拟与真实世界的机器人操作数据训练的通用流匹配策略）
Agents-K1: Towards Agent-native Knowledge Orchestration,Agents-K1 pipeline,未明确说明,跨学科科学知识图谱构建与多跳科学推理，需从海量科学论文中提取实体、证据、论证及方法谱系,优点：整合多模态全文解析、GRPO训练的4B高效信息抽取模型和统一的三源代理接口，在科学信息抽取、知识图谱构建和多跳推理上取得最优性能；缺点：摘要未明确说明局限,是（基于246万篇科学论文构建图谱，并利用上述数据训练与评估）
EurekAgent: Agent Environment Engineering is All You Need For Autonomous Scientific Discovery,EurekAgent (four-dimensional environment engineering),未明确说明,自主科学发现，涵盖数学问题、核工程、机器学习等多类指标驱动任务,优点：将重心从工作流设计转移到环境工程，通过权限、制品、预算和人机协同四维工程自然抑制奖励黑客和摩擦，以极低的API成本（低于11美元）在26圆堆放等任务上取得新最优结果；缺点：摘要未说明方法适用边界、对复杂多步推理的泛化能力，以及环境设计本身的工程成本,是（在多个指标驱动的科学发现任务上，通过实验获得优化指标和成本数据）
Recursive Agent Harnesses,Recursive Agent Harness (RAH),未明确说明,长上下文推理任务，如Oolong-Synthetic基准（上下文长度可达4M tokens）,优点：将递归单元定义为具备文件系统、代码执行和规划工具的完整代理脚本，而非裸模型调用，显著提升长上下文推理准确率，且增益主要源于框架设计而非基座模型；缺点：摘要未明确说明局限,是（使用Oolong-Synthetic长上下文推理基准的199个样本进行评估）
